내국인업종코드(SB_UPJONG_CD),성별(SEX_CCD),카드이용건수(USECT_CORR)
SB021,M,15.09
SB047,F,95.57
SB003,M,10.06
SB054,,5.03
SB028,M,10.06
SB008,,5.03
SB016,M,18.2
SB013,M,30.18
SB051,M,5.03
SB020,M,15.09
SB005,F,25.15
SB015,M,25.15
SB013,F,27.3
SB028,M,10.06
SB018,F,18.2
SB003,M,30.18
SB042,M,127.4
SB013,F,15.09
SB062,M,5.03
SB008,M,246.47
SB040,M,5.03
SB008,M,5.03
SB021,M,50.3
SB022,M,15.09
SB008,M,30.18
SB001,M,85.51
SB016,F,5.03
SB060,M,15.09
SB016,F,5.03
SB032,M,25.15
SB018,F,5.03
SB008,M,20.12
SB047,F,30.18
SB019,M,5.03
SB008,,5.03
SB043,M,20.12
SB001,M,30.18
SB013,F,10.06
SB013,M,5.03
SB016,F,5.03
SB013,F,5.03
SB054,M,65.39
SB001,M,5.03
SB005,M,5.03
SB051,M,5.03
SB016,F,5.03
SB001,F,5.03
SB016,M,5.03
SB007,F,27.3
SB013,F,5.03
SB020,M,18.2
SB020,M,5.03
SB008,F,5.03
SB004,F,5.03
SB008,M,10.06
SB019,M,90.54
SB008,F,9.1
SB045,F,5.03
SB051,F,5.03
SB005,F,40.24
SB020,M,5.03
SB054,F,10.06
SB007,M,5.03
SB039,F,45.27
